Index,L5_Acceleration X(g),L5_Acceleration Y(g),L5_Acceleration Z(g),L5_Angular velocity X(°/s),L5_Angular velocity Y(°/s),L5_Angular velocity Z(°/s),L5_Angle X(°),L5_Angle Y(°),L5_Angle Z(°),L5_Magnetic field X(ʯt),L5_Magnetic field Y(ʯt),L5_Magnetic field Z(ʯt),L5_Temperature(℃),L5_Quaternions 0(),L5_Quaternions 1(),L5_Quaternions 2(),L5_Quaternions 3(),L5___orig_idx,T4_Acceleration X(g),T4_Acceleration Y(g),T4_Acceleration Z(g),T4_Angular velocity X(°/s),T4_Angular velocity Y(°/s),T4_Angular velocity Z(°/s),T4_Angle X(°),T4_Angle Y(°),T4_Angle Z(°),T4_Magnetic field X(ʯt),T4_Magnetic field Y(ʯt),T4_Magnetic field Z(ʯt),T4_Temperature(℃),T4_Quaternions 0(),T4_Quaternions 1(),T4_Quaternions 2(),T4_Quaternions 3(),T4___orig_idx,C7_Acceleration X(g),C7_Acceleration Y(g),C7_Acceleration Z(g),C7_Angular velocity X(°/s),C7_Angular velocity Y(°/s),C7_Angular velocity Z(°/s),C7_Angle X(°),C7_Angle Y(°),C7_Angle Z(°),C7_Magnetic field X(ʯt),C7_Magnetic field Y(ʯt),C7_Magnetic field Z(ʯt),C7_Temperature(℃),C7_Quaternions 0(),C7_Quaternions 1(),C7_Quaternions 2(),C7_Quaternions 3(),C7___orig_idx,T12_Acceleration X(g),T12_Acceleration Y(g),T12_Acceleration Z(g),T12_Angular velocity X(°/s),T12_Angular velocity Y(°/s),T12_Angular velocity Z(°/s),T12_Angle X(°),T12_Angle Y(°),T12_Angle Z(°),T12_Magnetic field X(ʯt),T12_Magnetic field Y(ʯt),T12_Magnetic field Z(ʯt),T12_Temperature(℃),T12_Quaternions 0(),T12_Quaternions 1(),T12_Quaternions 2(),T12_Quaternions 3(),T12___orig_idx
0,0.713,-0.13,0.711,0.305,-0.366,-0.793,-10.289,-44.539,175.276,-18.167,-6.713,-21.72,27.8,-0.07208,-0.37408,0.09885,-0.91925,6,0.639,-0.249,0.736,-3.296,-3.906,0.732,-18.638,-40.034,-110.753,-20.313,-2.5,-8.967,28.29,0.4794,-0.36627,-0.07074,-0.79431,4,0.715,-0.184,0.666,-2.075,-7.568,4.395,-15.386,-47.142,166.597,-21.167,-5.247,-25.867,31.0,-0.1756,-0.38519,0.16217,-0.8913,0,0.822,-0.354,0.426,-0.122,-1.16,0.122,-40.21,-56.695,-141.4,-27.693,-0.98,-11.98,31.59,-0.11426,0.52017,-0.14157,0.83438,2
1,0.717,-0.129,0.711,0.183,-0.488,-0.854,-10.272,-44.544,175.248,-18.167,-6.713,-21.72,27.8,-0.07208,-0.37408,0.09885,-0.91925,7,0.644,-0.246,0.733,-4.272,-3.845,0.366,-18.743,-40.089,-110.775,-20.313,-2.5,-8.967,28.29,0.4794,-0.36627,-0.07074,-0.79431,5,0.725,-0.179,0.661,-3.906,-9.583,4.761,-15.584,-47.269,166.844,-21.167,-5.247,-25.867,31.0,-0.1756,-0.38519,0.16217,-0.8913,1,0.824,-0.35,0.42,-0.122,-1.221,0.122,-40.232,-56.706,-141.334,-27.693,-0.98,-11.98,31.59,-0.11426,0.52017,-0.14157,0.83438,3
2,0.719,-0.128,0.71,0.183,-0.183,-0.854,-10.256,-44.555,175.215,-18.1,-6.413,-21.373,27.8,-0.07208,-0.37408,0.09885,-0.91925,8,0.649,-0.244,0.725,-3.967,-3.784,0.671,-18.847,-40.15,-110.792,-20.313,-2.5,-8.967,28.29,0.4808,-0.36481,-0.06644,-0.79449,14,0.728,-0.184,0.656,-2.808,-10.925,4.944,-15.804,-47.417,167.108,-21.167,-5.247,-25.867,31.0,-0.1756,-0.38519,0.16217,-0.8913,10,0.829,-0.349,0.422,-0.122,-1.282,0.183,-40.259,-56.711,-141.257,-27.693,-0.98,-11.98,31.59,-0.11426,0.52017,-0.14157,0.83438,12
3,0.72,-0.128,0.709,0.183,-0.244,-0.732,-10.239,-44.561,175.193,-18.1,-6.413,-21.373,27.8,-0.07208,-0.37408,0.09885,-0.91925,9,0.653,-0.245,0.724,-3.418,-4.456,1.221,-18.951,-40.21,-110.792,-20.313,-2.5,-8.967,28.29,0.4808,-0.36481,-0.06644,-0.79449,15,0.733,-0.173,0.647,-2.686,-13.428,5.127,-16.029,-47.604,167.382,-21.167,-5.247,-25.867,31.0,-0.1756,-0.38519,0.16217,-0.8913,11,0.83,-0.346,0.417,0.305,-0.732,0.305,-40.27,-56.717,-141.213,-27.693,-0.98,-11.98,31.59,-0.11426,0.52017,-0.14157,0.83438,13
4,0.72,-0.127,0.708,0.244,-0.549,-0.427,-10.228,-44.572,175.172,-18.1,-6.413,-21.373,27.8,-0.07208,-0.37408,0.09885,-0.91925,16,0.652,-0.243,0.721,-3.357,-3.784,1.526,-19.061,-40.265,-110.786,-20.313,-2.5,-8.967,28.29,0.4808,-0.36481,-0.06644,-0.79449,22,0.743,-0.177,0.637,-3.113,-14.954,6.592,-16.282,-47.829,167.684,-21.167,-5.247,-25.867,31.0,-0.15607,-0.38232,0.1702,-0.89465,24,0.831,-0.346,0.418,0.122,-0.732,0.488,-40.281,-56.722,-141.185,-27.633,-0.973,-12.94,31.59,-0.11426,0.52017,-0.14157,0.83438,18
5,0.72,-0.127,0.709,0.183,-0.61,-0.244,-10.223,-44.588,175.161,-18.1,-6.413,-21.373,27.8,-0.07208,-0.37408,0.09885,-0.91925,17,0.657,-0.24,0.717,-3.113,-3.174,2.014,-19.166,-40.309,-110.775,-20.313,-2.5,-8.967,28.29,0.4808,-0.36481,-0.06644,-0.79449,23,0.734,-0.181,0.63,-3.845,-14.282,8.057,-16.584,-48.049,168.019,-21.167,-5.247,-25.867,31.0,-0.15607,-0.38232,0.1702,-0.89465,25,0.829,-0.343,0.419,0.0,-0.61,0.793,-40.298,-56.717,-141.13,-27.633,-0.973,-12.94,31.59,-0.11426,0.52017,-0.14157,0.83438,19
6,0.717,-0.126,0.711,0.061,-0.549,-0.122,-10.217,-44.599,175.166,-18.1,-6.413,-21.373,27.8,-0.0726,-0.37405,0.09827,-0.91928,20,0.657,-0.241,0.718,-2.563,-3.479,2.319,-19.265,-40.353,-110.748,-20.313,-2.5,-8.967,28.29,0.4808,-0.36481,-0.06644,-0.79449,32,0.745,-0.173,0.625,-4.089,-15.015,7.385,-16.902,-48.274,168.376,-21.167,-5.247,-25.867,31.0,-0.15607,-0.38232,0.1702,-0.89465,26,0.827,-0.343,0.422,0.061,-0.427,1.099,-40.32,-56.711,-141.059,-27.633,-0.973,-12.94,31.59,-0.12094,0.52145,-0.13733,0.83337,28
7,0.714,-0.124,0.711,0.0,-0.793,-0.061,-10.217,-44.615,175.155,-18.1,-6.413,-21.373,27.8,-0.0726,-0.37405,0.09827,-0.91928,21,0.65,-0.248,0.719,-1.831,-4.272,2.747,-19.358,-40.413,-110.715,-20.313,-2.5,-8.967,28.29,0.4808,-0.36481,-0.06644,-0.79449,33,0.739,-0.19,0.627,-3.113,-13.306,7.08,-17.205,-48.488,168.723,-21.167,-5.247,-25.867,31.0,-0.15607,-0.38232,0.1702,-0.89465,27,0.825,-0.344,0.418,0.244,-0.244,1.221,-40.342,-56.7,-140.971,-27.633,-0.973,-12.94,31.59,-0.12094,0.52145,-0.13733,0.83337,29
8,0.714,-0.124,0.711,-0.061,-1.038,0.061,-10.223,-44.637,175.139,-18.1,-6.413,-21.373,27.8,-0.0726,-0.37405,0.09827,-0.91928,30,0.646,-0.253,0.719,-1.709,-5.737,2.502,-19.457,-40.496,-110.66,-20.313,-2.5,-8.967,28.29,0.4808,-0.36481,-0.06644,-0.79449,38,0.745,-0.195,0.625,-5.798,-13.733,7.019,-17.518,-48.686,169.063,-21.167,-5.247,-25.867,31.0,-0.15607,-0.38232,0.1702,-0.89465,36,0.824,-0.343,0.418,-0.122,-0.061,1.343,-40.364,-56.689,-140.905,-27.633,-0.973,-12.94,31.59,-0.12094,0.52145,-0.13733,0.83337,34
9,0.714,-0.125,0.713,-0.061,-0.977,0.305,-10.234,-44.654,175.133,-18.1,-6.413,-21.373,27.8,-0.0726,-0.37405,0.09827,-0.91928,31,0.651,-0.256,0.72,-2.319,-4.822,2.014,-19.556,-40.573,-110.621,-20.313,-2.5,-8.967,28.29,0.4808,-0.36481,-0.06644,-0.79449,39,0.754,-0.203,0.618,-5.188,-12.024,6.165,-17.842,-48.878,169.398,-21.167,-5.247,-25.867,31.0,-0.15607,-0.38232,0.1702,-0.89465,37,0.824,-0.344,0.42,-0.793,-0.122,1.343,-40.391,-56.673,-140.828,-27.633,-0.973,-12.94,31.59,-0.12094,0.52145,-0.13733,0.83337,35
