Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 15:26:03.623,f6:90:cc:01:6d:25, 2015-01-01 03:11:13.100, 0.775, 0.051, -0.609, -0.671, 0.122, -0.061, 175.518, -52.471, -17.584, -25.053, -13.513, 12.013, 31.21, -0.09778, -0.88382, 0.1456, -0.43359,
 15:26:03.624,f6:90:cc:01:6d:25, 2015-01-01 03:11:13.100, 0.775, 0.05, -0.611, -0.549, 0.244, 0, 175.507, -52.465, -17.677, -25.053, -13.513, 12.013, 31.21, -0.09778, -0.88382, 0.1456, -0.43359,
 15:26:03.642,ed:40:fe:65:30:6c, 2015-01-01 03:11:13.810, 0.968, -0.051, -0.266, 0, 1.953, 0.122, -167.778, -74.905, 33.036, -26.260, -13.793, 21.247, 26.21, 0.25342, -0.73859, -0.28748, -0.55453,
 15:26:03.642,ed:40:fe:65:30:6c, 2015-01-01 03:11:13.810, 0.967, -0.049, -0.263, 0, 1.953, 0.183, -167.756, -74.932, 32.992, -26.260, -13.793, 21.247, 26.21, 0.25342, -0.73859, -0.28748, -0.55453,
 15:26:03.643,e3:ca:2d:fd:e0:8c, 2015-01-01 03:11:14.430, 0.809, -0.118, -0.601, -0.793, -0.244, -0.183, -168.547, -53.064, -53.619, -25.700, -8.547, 3.893, 28.86, -0.12033, -0.81473, 0.36124, -0.43716,
 15:26:03.643,e3:ca:2d:fd:e0:8c, 2015-01-01 03:11:14.430, 0.808, -0.119, -0.604, -0.732, -0.305, 0, -168.569, -53.058, -53.641, -25.700, -8.547, 3.893, 28.86, -0.12033, -0.81473, 0.36124, -0.43716,
 15:26:03.644,ed:35:33:d3:6c:f8, 2015-01-01 03:11:14.015, 0.92, 0.061, 0.371, 2.441, 2.869, 0.61, 7.943, -67.346, 150.952, -23.927, -14.560, -14.440, 31.23, 0.17114, 0.55096, -0.08411, 0.81238,
 15:26:03.644,ed:35:33:d3:6c:f8, 2015-01-01 03:11:14.015, 0.917, 0.058, 0.374, 2.502, 3.052, 0.366, 7.965, -67.297, 150.98, -23.927, -14.560, -14.440, 31.23, 0.17114, 0.55096, -0.08411, 0.81238,
 15:26:03.646,f6:90:cc:01:6d:25, 2015-01-01 03:11:13.100, 0.776, 0.047, -0.61, -0.488, 0.244, -0.061, 175.496, -52.465, -17.77, -25.647, -13.660, 11.647, 31.21, -0.09778, -0.88382, 0.1456, -0.43359,
 15:26:03.646,f6:90:cc:01:6d:25, 2015-01-01 03:11:13.100, 0.775, 0.048, -0.609, -0.916, 0.305, 0, 175.479, -52.46, -17.864, -25.647, -13.660, 11.647, 31.21, -0.09778, -0.88382, 0.1456, -0.43359,
 15:26:03.664,e3:ca:2d:fd:e0:8c, 2015-01-01 03:11:14.790, 0.808, -0.12, -0.603, -0.732, -0.244, 0.122, -168.585, -53.047, -53.674, -25.700, -8.547, 3.893, 28.86, -0.12033, -0.81473, 0.36124, -0.43716,
 15:26:03.664,e3:ca:2d:fd:e0:8c, 2015-01-01 03:11:14.790, 0.808, -0.12, -0.601, -0.671, 0, 0.244, -168.596, -53.036, -53.712, -25.700, -8.547, 3.893, 28.86, -0.12033, -0.81473, 0.36124, -0.43716,
 15:26:03.666,ed:35:33:d3:6c:f8, 2015-01-01 03:11:14.015, 0.913, 0.062, 0.381, 2.686, 2.686, 0.549, 7.987, -67.247, 150.991, -23.927, -14.560, -14.440, 31.23, 0.17114, 0.55096, -0.08411, 0.81238,
 15:26:03.666,ed:35:33:d3:6c:f8, 2015-01-01 03:11:14.015, 0.91, 0.063, 0.387, 1.892, 2.197, 0.977, 7.993, -67.209, 151.029, -23.927, -14.560, -14.440, 31.23, 0.17114, 0.55096, -0.08411, 0.81238,
 15:26:03.686,e3:ca:2d:fd:e0:8c, 2015-01-01 03:11:14.790, 0.809, -0.12, -0.601, -0.916, 0.183, 0.244, -168.607, -53.036, -53.756, -25.700, -8.547, 3.893, 28.86, -0.12033, -0.81473, 0.36124, -0.43716,
 15:26:03.686,e3:ca:2d:fd:e0:8c, 2015-01-01 03:11:14.790, 0.808, -0.12, -0.601, -0.854, 0.305, 0.122, -168.618, -53.036, -53.795, -25.700, -8.547, 3.893, 28.86, -0.12033, -0.81473, 0.36124, -0.43716,
 15:26:03.692,f6:90:cc:01:6d:25, 2015-01-01 03:11:13.100, 0.776, 0.047, -0.61, -0.793, 0.61, 0, 175.463, -52.46, -17.946, -25.647, -13.660, 11.647, 31.21, -0.09778, -0.88382, 0.1456, -0.43359,
 15:26:03.692,f6:90:cc:01:6d:25, 2015-01-01 03:11:13.100, 0.776, 0.046, -0.609, -0.854, 0.732, 0.183, 175.452, -52.465, -18.023, -25.647, -13.660, 11.647, 31.21, -0.09778, -0.88382, 0.1456, -0.43359,
