Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 10:54:03.050,ed:35:33:d3:6c:f8, 2015-01-01 00:07:06.510, 0.584, -0.251, 0.762, -2.197, -1.16, 1.831, -18.067, -34.255, 177.369, -16.500, -1.747, -26.420, 22.36, 0.06241, 0.28674, -0.15375, 0.94348,
 10:54:03.050,ed:35:33:d3:6c:f8, 2015-01-01 00:07:06.510, 0.583, -0.246, 0.762, -2.93, -1.587, 1.709, -18.155, -34.277, 177.396, -16.500, -1.747, -26.420, 22.36, 0.06241, 0.28674, -0.15375, 0.94348,
 10:54:03.052,e3:ca:2d:fd:e0:8c, 2015-01-01 00:07:03.555, 1.011, -0.097, 0.197, 4.272, 3.052, 3.601, -22.983, -78.97, -179.797, -25.880, -6.867, -8.333, 18.45, -0.13077, -0.62314, 0.15161, -0.75598,
 10:54:03.052,e3:ca:2d:fd:e0:8c, 2015-01-01 00:07:03.555, 1.007, -0.084, 0.192, 5.005, 3.479, 3.418, -23.121, -78.882, -179.544, -25.880, -6.867, -8.333, 18.45, -0.13077, -0.62314, 0.15161, -0.75598,
 10:54:03.052,ed:40:fe:65:30:6c, 2015-01-01 00:07:03.030, 0.653, -0.074, 0.759, -2.075, -1.77, 1.282, -6.053, -38.919, -106.21, -21.173, -3.993, -3.500, 18.21, 0.55099, -0.2955, -0.15994, -0.76379,
 10:54:03.052,ed:40:fe:65:30:6c, 2015-01-01 00:07:03.030, 0.64, -0.093, 0.771, -2.075, -0.366, 2.625, -6.119, -38.952, -106.161, -21.173, -3.993, -3.500, 18.21, 0.55099, -0.2955, -0.15994, -0.76379,
 10:54:03.073,f6:90:cc:01:6d:25, 2015-01-01 00:07:06.175, 0.931, -0.265, 0.287, 2.197, 0.244, 5.432, -39.43, -67.429, -109.545, -30.073, -3.213, -2.687, 22.06, 0.29712, -0.58783, -0.07272, -0.74884,
 10:54:03.073,f6:90:cc:01:6d:25, 2015-01-01 00:07:06.175, 0.907, -0.263, 0.308, 2.625, 1.038, 4.761, -39.584, -67.357, -109.374, -30.073, -3.213, -2.687, 22.06, 0.29712, -0.58783, -0.07272, -0.74884,
 10:54:03.095,ed:35:33:d3:6c:f8, 2015-01-01 00:07:06.510, 0.569, -0.25, 0.766, -3.052, -1.526, 2.441, -18.248, -34.299, 177.424, -16.040, -1.400, -26.667, 22.36, 0.06241, 0.28674, -0.15375, 0.94348,
 10:54:03.095,ed:35:33:d3:6c:f8, 2015-01-01 00:07:06.510, 0.559, -0.272, 0.782, -3.113, 0, 4.761, -18.369, -34.277, 177.495, -16.040, -1.400, -26.667, 22.36, 0.06241, 0.28674, -0.15375, 0.94348,
 10:54:03.097,ed:40:fe:65:30:6c, 2015-01-01 00:07:03.030, 0.629, -0.106, 0.79, -1.709, 1.465, 4.028, -6.202, -38.947, -106.084, -21.173, -3.993, -3.500, 18.21, 0.55099, -0.2955, -0.15994, -0.76379,
 10:54:03.097,ed:40:fe:65:30:6c, 2015-01-01 00:07:03.030, 0.621, -0.105, 0.781, -0.854, 1.282, 4.211, -6.295, -38.919, -105.985, -21.173, -3.993, -3.500, 18.21, 0.55099, -0.2955, -0.15994, -0.76379,
 10:54:03.099,e3:ca:2d:fd:e0:8c, 2015-01-01 00:07:03.555, 1.002, -0.061, 0.152, 3.54, 0.366, 4.272, -23.275, -78.799, -179.269, -25.880, -6.867, -8.333, 18.45, -0.13077, -0.62314, 0.15161, -0.75598,
 10:54:03.099,e3:ca:2d:fd:e0:8c, 2015-01-01 00:07:03.555, 1, -0.055, 0.158, 0.854, 0, 2.93, -23.582, -78.766, -178.907, -25.880, -6.867, -8.333, 18.45, -0.13077, -0.62314, 0.15161, -0.75598,
 10:54:03.118,f6:90:cc:01:6d:25, 2015-01-01 00:07:06.175, 0.902, -0.243, 0.27, 1.892, 0.427, 3.479, -39.688, -67.286, -109.254, -30.073, -3.213, -2.687, 22.06, 0.29712, -0.58783, -0.07272, -0.74884,
 10:54:03.118,f6:90:cc:01:6d:25, 2015-01-01 00:07:06.175, 0.906, -0.227, 0.272, 1.221, -0.854, 1.953, -39.781, -67.247, -109.149, -30.073, -3.213, -2.687, 22.06, 0.29712, -0.58783, -0.07272, -0.74884,
 10:54:03.139,ed:35:33:d3:6c:f8, 2015-01-01 00:07:06.510, 0.552, -0.283, 0.789, -2.686, 0.977, 5.737, -18.495, -34.228, 177.594, -16.040, -1.400, -26.667, 22.36, 0.06241, 0.28674, -0.15375, 0.94348,
 10:54:03.139,ed:35:33:d3:6c:f8, 2015-01-01 00:07:06.510, 0.544, -0.284, 0.788, -1.221, -0.732, 3.235, -18.567, -34.222, 177.654, -16.040, -1.400, -26.667, 22.36, 0.06241, 0.28674, -0.15375, 0.94348,
 10:54:03.140,f6:90:cc:01:6d:25, 2015-01-01 00:07:06.175, 0.9, -0.236, 0.291, -0.854, -0.854, 1.099, -39.869, -67.242, -109.061, -30.073, -3.213, -2.687, 22.06, 0.29712, -0.58783, -0.07272, -0.74884,
 10:54:03.140,f6:90:cc:01:6d:25, 2015-01-01 00:07:06.175, 0.899, -0.252, 0.293, -1.404, -0.61, 0.671, -39.963, -67.247, -109.023, -30.073, -3.213, -2.687, 22.06, 0.29712, -0.58783, -0.07272, -0.74884,
 10:54:03.142,ed:40:fe:65:30:6c, 2015-01-01 00:07:03.410, 0.617, -0.094, 0.779, -0.61, -0.244, 2.563, -6.372, -38.897, -105.897, -21.173, -3.993, -3.500, 18.21, 0.55099, -0.2955, -0.15994, -0.76379,
 10:54:03.142,ed:40:fe:65:30:6c, 2015-01-01 00:07:03.410, 0.613, -0.101, 0.781, -0.977, -1.099, 1.221, -6.427, -38.903, -105.842, -21.173, -3.993, -3.500, 18.21, 0.55099, -0.2955, -0.15994, -0.76379,
 10:54:03.162,ed:35:33:d3:6c:f8, 2015-01-01 00:07:06.510, 0.539, -0.278, 0.786, -0.427, -1.831, 1.038, -18.6, -34.25, 177.687, -16.040, -1.400, -26.667, 22.36, 0.06671, 0.28717, -0.16006, 0.94199,
 10:54:03.162,ed:35:33:d3:6c:f8, 2015-01-01 00:07:06.510, 0.553, -0.282, 0.782, -0.549, -2.136, 0.122, -18.622, -34.288, 177.709, -16.040, -1.400, -26.667, 22.36, 0.06671, 0.28717, -0.16006, 0.94199,
 10:54:03.166,e3:ca:2d:fd:e0:8c, 2015-01-01 00:07:03.555, 1.002, -0.068, 0.17, -0.61, -0.244, 0.977, -23.796, -78.755, -178.698, -25.880, -6.867, -8.333, 18.45, -0.13077, -0.62314, 0.15161, -0.75598,
 10:54:03.166,e3:ca:2d:fd:e0:8c, 2015-01-01 00:07:03.555, 1.002, -0.09, 0.169, -1.526, -1.77, -0.122, -23.895, -78.766, -178.616, -25.880, -6.867, -8.333, 18.45, -0.13077, -0.62314, 0.15161, -0.75598,
 10:54:03.187,f6:90:cc:01:6d:25, 2015-01-01 00:07:06.175, 0.912, -0.251, 0.28, -0.488, -1.77, -0.061, -40.04, -67.258, -108.99, -30.073, -3.213, -2.687, 22.06, 0.29712, -0.58783, -0.07272, -0.74884,
 10:54:03.187,f6:90:cc:01:6d:25, 2015-01-01 00:07:06.175, 0.919, -0.26, 0.285, -0.122, -2.075, -0.061, -40.111, -67.291, -108.924, -30.073, -3.213, -2.687, 22.06, 0.29712, -0.58783, -0.07272, -0.74884,
 10:54:03.187,ed:40:fe:65:30:6c, 2015-01-01 00:07:03.410, 0.633, -0.109, 0.784, -1.526, -1.099, 0.793, -6.476, -38.919, -105.809, -21.173, -3.993, -3.500, 18.21, 0.55099, -0.2955, -0.15994, -0.76379,
 10:54:03.187,ed:40:fe:65:30:6c, 2015-01-01 00:07:03.410, 0.644, -0.105, 0.774, -1.221, -1.709, 0.366, -6.52, -38.941, -105.798, -21.173, -3.993, -3.500, 18.21, 0.55099, -0.2955, -0.15994, -0.76379,
 10:54:03.189,e3:ca:2d:fd:e0:8c, 2015-01-01 00:07:03.555, 0.987, -0.089, 0.172, -1.709, -3.357, -0.183, -24.005, -78.816, -178.517, -25.313, -6.273, -7.687, 18.45, -0.13077, -0.62314, 0.15161, -0.75598,
 10:54:03.189,e3:ca:2d:fd:e0:8c, 2015-01-01 00:07:03.555, 0.986, -0.089, 0.196, -1.526, -0.854, -0.549, -24.131, -78.871, -178.401, -25.313, -6.273, -7.687, 18.45, -0.13077, -0.62314, 0.15161, -0.75598,
 10:54:03.206,ed:35:33:d3:6c:f8, 2015-01-01 00:07:06.510, 0.571, -0.283, 0.778, -0.732, -1.648, 0.427, -18.66, -34.31, 177.737, -16.040, -1.400, -26.667, 22.36, 0.06671, 0.28717, -0.16006, 0.94199,
 10:54:03.206,ed:35:33:d3:6c:f8, 2015-01-01 00:07:06.510, 0.566, -0.277, 0.774, 0, -2.319, -0.183, -18.671, -34.354, 177.742, -16.040, -1.400, -26.667, 22.36, 0.06671, 0.28717, -0.16006, 0.94199,
 10:54:03.211,e3:ca:2d:fd:e0:8c, 2015-01-01 00:07:03.555, 1.009, -0.101, 0.208, -1.099, 2.014, 0.244, -24.137, -78.876, -178.391, -25.313, -6.273, -7.687, 18.45, -0.13077, -0.62314, 0.15161, -0.75598,
